store,order_id,city,state,shipping_charged,order_total,Clean_State
rbn,34932,,BO-C,15,239.99,Cochabamba
rbn,34970,,,0,286.98,Santa Cruz
rbn,35094,,BO-S,25,144.98,Santa Cruz
rbn,35125,,BO-C,15,174.99,Cochabamba
rbn,35126,,BO-S,15,139.95,Santa Cruz
rbn,35127,,,0,69.99,Santa Cruz
rbn,35132,,BO-C,15,480.0,Cochabamba
rbn,35133,,BO-L,15,234.98,La Paz
rbn,35294,,BO-H,15,354.97,Chuquisaca
rbn,35295,,BO-L,15,294.98,La Paz
rbn,35297,,BO-S,0,139.99,Santa Cruz
rbn,35310,,BO-S,0,289.96,Santa Cruz
rbn,35328,,BO-L,15,142.0,La Paz
rbn,35329,,BO-L,15,84.99,La Paz
rbn,35334,,BO-S,0,174.99,Santa Cruz
rbn,35335,,BO-L,15,279.97,La Paz
rbn,35336,,BO-O,15,424.99,Oruro
rbn,35340,,BO-L,15,150.0,La Paz
rbn,35341,,,0,69.99,Santa Cruz
rbn,35379,,BO-T,20,94.99,Tarija
rbn,35403,,BO-L,15,74.99,La Paz
rbn,35405,,BO-T,15,364.98,Tarija
rbn,35407,,BO-T,15,170.0,Tarija
rbn,35411,,BO-T,15,74.99,Tarija
rbn,35412,,,0,179.99,Santa Cruz
rbn,35415,,BO-L,15,479.97,La Paz
rbn,35431,,BO-S,0,147.0,Santa Cruz
rbn,35447,Potosi,,0,214.99,Santa Cruz
rbn,35443,,,20,79.99,Santa Cruz
rbn,35936,sucre,BO-H,15,170.0,Chuquisaca
rbn,36042,,BO-C,15,204.99,Cochabamba
rbn,36044,Sucre,BO-H,0,147.0,Chuquisaca
rbn,36050,,BO-H,15,162.0,Chuquisaca
rbn,36086,,,15,74.99,Santa Cruz
rbn,36088,,BO-L,15,74.99,La Paz
rbn,36089,,,15,54.99,Santa Cruz
rbn,36125,,,15,170.0,Santa Cruz
rbn,36127,,,0,155.0,Santa Cruz
rbn,36128,,,0,169.99,Santa Cruz
rbn,36129,,,0,215.0,Santa Cruz
rbn,36522,,,0,59.99,Santa Cruz
rbn,36637,,BO-S,15,264.98,Santa Cruz
rbn,36642,,BO-S,0,147.0,Santa Cruz
rbn,36681,,,0,219.99,Santa Cruz
